B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2075-2-18,2018-06-01,15:22,27.68,86.11,4.3,NSC,Dolakha
2075-2-17,2018-05-31,20:32,28.17,84.89,4.1,NSC,gorkha
2075-2-17,2018-05-31,16:00,28.9,81.77,4.3,RSC/NSC,Dailekh
2075-2-10,2018-05-24,14:25,29.98,80.54,4.6,RSC/NSC,Dharchula
2075-1-22,2018-05-05,15:04,27.74,88.13,4.4,NSC,Taplejung
2074-11-18,2018-03-02,05:06,27.7,86.33,4.6,NSC,Dolakha
2074-11-15,2018-02-27,19:00,27.7,86.33,4.3,NSC,Dolakha
2074-11-9,2018-02-21,15:59,28.07,85.96,4.3,NSC,Tibet
2074-10-5,2018-01-19,02:53,27.72,86.01,4.3,NSC,Dolakha
2074-9-13,2017-12-28,7:45,29.82,80.76,4.5,RSC/NSC,Darchula
2074-9-3,2017-12-18,11:33,27.96,85.68,4.2,NSC,Sindhupalchowk
2074-8-22,2017-12-08,02:51,27.63,86.19,5.2,NSC,Dolakha
2074-7-20,2017-11-06,03:09,29.78,81.28,4.5,RSC/NSC,Bajhang
2074-7-9,2017-10-26,12:51,29.08,81.45,4,NSC/RSC,Achham
2074-6-29,2017-10-15,23:17,28.5,83.32,4.2,NSC,Myagdi
2074-6-16,2017-10-02,01:22,28.83,82.55,4.1,NSC/RSC,Rukum
2074-6-5,2017-09-21,07:19,27.62,86.25,4.6,NSC,Dolakha
2074-5-8,2017-08-24,10:40,28.06,85.94,4.8,NSC,Sindhupalchok-Tibet border
2074-5-6,2017-08-22,00:50,29.41,81.1,4.9,RSC/NSC,Bajhang
2074-5-5,2017-08-21,12:03,27.66,86.27,4.6,NSC,Dolakha
2074-4-9,2017-07-24,04:44,27.56,85.96,4,NSC,Dolakha
2074-3-31,2017-07-15,16:35,28.94,81.75,4,NSC/RSC,Dailekh
2074-3-18,2017-07-02,01:58,27.34,86.49,5.1,NSC,Okhaldhunga
2074-3-14,2017-06-28,18:24,27.66,86.41,4.2,NSC,Ramechhap
2074-2-31,2017-06-14,03:42,27.88,88.13,4.1,NSC,Taplejung-Tibet Border
2074-2-29,2017-06-12,11:54,27.62,86.1,4.1,NSC,Dolakha
2074-2-16,2017-05-30,17:38,29.64,80.97,4.1,RSC/NSC,Bajhang
2074-1-11,2017-04-24,11:19,27.86,85.77,4.2,NSC,Sindhupalchowk
2074-1-11,2017-04-24,15:04,29.75,81.31,4.1,NSC/RSC,Bajhang
2073-11-27,2017-03-10,01:43,30.37,81.57,4.1,RSC/NSC,Humla
2073-11-16,2017-02-27,04:21,27.38,86.13,4.7,NSC,Ramechhap
2073-11-16,2017-02-27,03:37,27.36,86.12,4.6,NSC,Ramechhap
2073-11-7,2017-02-18,00:15,27.79,84.8,4,NSC,Dhading
2073-10-28,2017-02-10,11:13,29.88,80.61,4.1,NSC/RSC,Darchula
2073-10-22,2017-02-04,12:13,27.73,86.08,4.4,NSC,Dolakha
2073-9-19,2017-01-03,18:41,29.71,81.57,4,RSC/NSC,Bajura
2073-8-13,2016-11-28,23:35,27.79,86.58,5.6,"NSC,RSC",Ramechap/Solukhumbu
2073-7-21,2016-11-06,16:02,29.69,81.05,4,RSC/NSC,Bajhang
2073-7-1,2016-10-17,04:18,27.87,85.3,4,NSC,Nuwakot
2073-6-29,2016-10-15,12:37,28.04,85.17,4.1,NSC,Rasuwa
2073-6-26,2016-10-12,08:29,27.66,85.95,4.1,NSC,Dolakha
2073-6-25,2016-10-11,07:08,27.67,85.95,4.6,NSC,Dolakha
2073-6-21,2016-10-07,04:52,27.65,86.13,4.2,NSc,Dolakha
2073-6-2,2016-09-18,17:12,27.91,85.77,4.6,NSC,Sindhupalchowk
2073-5-20,2016-09-05,02:04,27.78,86.35,4.5,NSC,Dolakha
2073-5-20,2016-09-05,00:37,27.82,86.14,4.1,NSC,Dolakha
2073-5-11,2016-08-27,12:03,29.81,81.56,4,RSC/NSC,Bajura
2073-4-8,2016-07-23,06:14,27.99,84.71,4.1,NSC,Gorkha
2073-3-24,2016-07-08,22:23,27.84,86.16,4.1,NSC,Dolakha
2073-3-23,2016-07-07,11:53,27.92,85.66,4.4,NSC,Sindhupalchowk
2073-3-23,2016-07-07,08:59,28.31,84.35,4.3,NSC/RSC,Lamjung
2073-3-18,2016-07-02,00:23,29.64,81.28,4.4,RSC/NSC,Bajhang
2073-3-15,2016-06-29,09:10,29.63,81.28,5,RSC/NSC,Bajhang
2073-3-15,2016-06-29,09:26,29.63,81.24,4.2,RSC/NSC,Bajhang
2073-3-8,2016-06-22,13:00,27.76,86.34,4.1,NSC,Dolakha
2073-3-7,2016-06-21,05:49,27.93,85.21,4.4,NSC,Nuwakot
2073-2-32,2016-06-14,23:27,28.03,84.64,4.3,NSC,Gorkha
2073-2-21,2016-06-03,23:25,27.96,85.62,4.4,NSC,Sindhupalchowk
2073-2-15,2016-05-28,09:39,27.94,85.5,4.6,NSC/RSC,Sindhupalchok
2073-2-11,2016-05-24,19:09,27.73,85.16,4.2,NSC/RSC,Dhading
2073-2-2,2016-05-15,22:45,27.93,85.5,4.4,NSC/RSC,Sindhupalchowk
2073-2-1,2016-05-14,23:20,27.97,85.55,4.3,NSC,Sindhupalchowk
2073-1-31,2016-05-13,19:24,27.69,86.24,4.1,NSC,Dolakha
2073-1-29,2016-05-11,08:52,28.01,84.68,4.5,NSC,Gorkha
2073-1-29,2016-05-11,01:19,28.01,84.94,4.4,NSC,Dhading
2073-1-23,2016-05-05,04:46,28.24,84.99,4.1,NSC,Gorkha/Dhading
2073-1-22,2016-05-04,05:32,29.38,81.88,4,RSC/NSC,Kalikot
2073-1-18,2016-04-30,06:43,29.54,81.1,4.2,RSC/NSC,Bajhang
2073-1-14,2016-04-26,09:33,28.05,85.38,4.3,NSC,Rasuwa
2073-1-12,2016-04-24,20:31,28.08,85.13,4.2,NSC,Nuwakot
2073-1-10,2016-04-22,06:56,27.72,86.29,4,NSC,Dolakha
2073-1-10,2016-04-22,11:04,27.79,85.85,4,NSC,Sindhupalchowk
2072-12-30,2016-04-12,14:41,27.56,86.17,4.4,NSC,Dolakha
2072-12-27,2016-04-09,13:20,27.65,85.31,4.5,NSC,Lalitpur
2072-12-22,2016-04-04,03:55,29.81,81.51,4.3,RSC/NSC,Bajhang
2072-12-22,2016-04-04,04:31,27.72,86.09,4.7,NSC,Dolakha
2072-12-18,2016-03-31,22:41,27.93,85.59,4,NSC,Sindhupalchowk
2072-12-17,2016-03-30,12:26,27.89,85.73,4.7,NSC,Sindhupalchowk
2072-12-11,2016-03-24,23:41,27.75,88.04,4.1,NSC,Taplejung
2072-12-4,2016-03-17,05:14,27.34,86.27,4,NSC,Okhaldhunga
2072-12-2,2016-03-15,21:27,27.84,85.73,4.5,NSC,Sindhupalchowk
2072-11-30,2016-03-13,05:15,27.83,84.9,4.8,NSC,Dhading
2072-11-28,2016-03-11,09:28,27.9,85.87,4.2,NSC,Sindhupalchowk
2072-11-24,2016-03-07,08:05,30.22,81.7,4.4,NSC/RSC,Humla
2072-11-23,2016-03-06,01:25,27.69,85.93,4,NSC,Sindhupalchowk
2072-11-18,2016-03-01,10:45,27.79,85.73,4.3,NSC,Sindhupalchowk
2072-11-12,2016-02-24,09:22,27.8,85.74,5.4,NSC,Sindhupalchok
2072-11-11,2016-02-23,03:00,27.47,87.15,4.5,NSC,Sankhuwasava
2072-11-9,2016-02-21,18:09,28.08,84.76,5.5,NSC,Gorkha
2072-11-8,2016-02-20,22:09,27.86,85.29,4.1,NSC,Nuwakot
2072-11-1,2016-02-13,14:37,27.81,85.72,4.3,NSC,Sindhupalchowk
2072-10-27,2016-02-10,16:27,27.84,85.71,4.6,NSC,Sindhupalchowk
2072-10-22,2016-02-05,16:20,27.95,85.52,5.5,NSC,Sindhupalchowk
2072-10-13,2016-01-27,20:42,27.83,85.83,4.4,NSC,Sindhupalchowk
2072-10-13,2016-01-27,14:57,26.68,86.27,4.2,NSC,Siraha
2072-10-8,2016-01-22,19:22,28.06,85.09,4.6,NSC,Nuwakot
2072-10-1,2016-01-15,13:05,27.63,86.25,4.1,NSC,Dolakha
2072-10-1,2016-01-15,17:14,27.65,86.23,4.3,NSC,Dolakha
2072-9-25,2016-01-09,17:43,27.48,86.01,4.4,NSC,Ramechhap
2072-9-20,2016-01-04,13:02,27.75,86.12,4.1,NSC,Dolakha
2072-9-18,2016-01-02,21:30,28.01,85.8,4.2,NSC,Sindhupalchowk
2072-9-16,2015-12-31,01:56,27.86,85.72,4.3,NSC,Sindhupalchowk
2072-9-13,2015-12-28,22:07,27.7,86.12,4.2,NSC,Dolakha
2072-9-11,2015-12-26,04:48,29.35,81.29,4.1,NSC,Bajura
2072-9-8,2015-12-23,03:14,27.79,86.08,4.1,NSC,Dolakha
2072-9-3,2015-12-18,22:16,29.44,81.69,5.5,NSC/RSC,Bajura
2072-8-27,2015-12-13,03:00,28.04,85.02,4.1,NSC,Dhading
2072-8-21,2015-12-07,01:42,27.86,86.19,4,NSC,Dolakha
2072-8-14,2015-11-30,00:25,27.78,85.39,4.1,NSC,Kathmandu
2072-8-11,2015-11-27,10:37,27.11,87.95,4.6,NSC,Panchthar
2072-8-11,2015-11-27,09:38,27.63,85.53,4.1,NSC,kavrepalanchok
2072-8-9,2015-11-25,18:57,27.87,85.77,4.1,NSC,Sindhupalchowk
2072-8-8,2015-11-24,12:24,28.15,84.81,4.4,NSC,Gorkha
2072-8-8,2015-11-24,11:15,27.87,85.29,4,NSC,Nuwakot
2072-8-6,2015-11-22,13:26,28.43,83.3,4.1,NSC/RSC,Myagdi
2072-8-4,2015-11-20,08:00,28.35,83.36,4,NSC/RSC,Baglung
2072-8-3,2015-11-19,11:59,27.77,85.88,4,NSC,Sindhupalchok
2072-8-3,2015-11-19,04:15,27.89,85.75,5.3,NSC,Sindupalchok
2072-8-1,2015-11-17,13:10,28.02,85.28,4.3,NSC,Rasuwa
2072-7-26,2015-11-12,10:00,27.99,85.65,4.2,NSC,Sindupalchok
2072-7-14,2015-10-31,03:43,28.03,85.23,4.3,NSC,Rasuwa
2072-6-30,2015-10-17,18:01,27.8,86.3,4.2,NSC,Dolakha
2072-6-29,2015-10-16,08:43,27.71,86.16,4.2,NSC,Dolakha
2072-6-21,2015-10-08,16:13,27.96,85.54,4.1,NSC,Sindupalchowk
2072-6-21,2015-10-08,07:15,27.57,85.31,4,NSC,Lalitpur
2072-6-20,2015-10-07,23:30,27.68,86.08,4.2,NSC,Dolakha
2072-6-19,2015-10-06,12:02,27.69,86.09,4.2,NSC,Dolakha
2072-6-18,2015-10-05,07:36,27.71,86.1,4.2,NSC,Dolakha
2072-6-18,2015-10-05,07:33,27.71,86.15,4.8,NSC,Dolakha
2072-6-12,2015-09-29,09:27,29.83,80.6,4.6,RSC,Darchula
2072-6-12,2015-09-29,10:54,27.77,85.87,4.6,NSC,Sindhupalchowk
2072-6-5,2015-09-22,06:32,27.74,85.07,4.5,NSC,Dhading
2072-6-3,2015-09-20,22:20,27.76,86.37,4,NSC,Dolakha
2072-5-30,2015-09-16,14:52,27.6,86.19,4.2,NSC,Dolakha
2072-5-23,2015-09-09,12:38,27.82,86.24,4,NSC,Dolakha
2072-5-17,2015-09-03,23:25,27.75,86.01,4.3,NSC,Sindhupalchowk
2072-5-16,2015-09-02,23:06,27.64,86.19,4.4,NSC,Dolakha
2072-5-14,2015-08-31,17:48,27.92,85.69,4.2,NSC,Sindhupalchowk
2072-5-13,2015-08-30,13:17,27.72,85.75,5,NSC,Sindhupalchowk
2072-5-13,2015-08-30,02:41,27.66,86.23,4.1,NSC,Dolakha
2072-5-13,2015-08-30,21:24,27.92,84.94,4.3,NSC,Dhading
2072-5-10,2015-08-27,00:22,28.12,84.89,4.1,NSC,Gorkha
2072-5-10,2015-08-27,19:06,27.85,85.74,4.2,NSC,Sindhupalchowk
2072-5-9,2015-08-26,07:46,30.11,81.53,4.1,RSC,Humla
2072-5-8,2015-08-25,09:23,27.68,86.22,4,NSC,Dolakha
2072-5-6,2015-08-23,09:02,27.87,86.17,5.1,NSC,Dolakha
2072-5-4,2015-08-21,06:36,27.96,85.48,4,NSC,Nuwakot
2072-5-3,2015-08-20,06:02,28,85.29,4.6,NSC,Rasuwa
2072-5-1,2015-08-18,22:23,27.93,86.14,4.8,NSC,Dolakha
2072-4-30,2015-08-15,18:11,27.71,86.05,4.8,NSC,Dolakha
2072-4-30,2015-08-15,04:25,27.87,86.08,4.1,NSC,Dolakha
2072-4-29,2015-08-14,13:02,27.59,85.97,4.3,NSC,Dolakha
2072-4-28,2015-08-13,20:04,27.72,85.2,4,NSC,Kathmandu
2072-4-26,2015-08-11,04:57,27.7,85.29,4.3,NSC,Kathmandu
2072-4-25,2015-08-10,22:30,28.14,84.72,4.9,NSC,Gorkha
2072-4-24,2015-08-09,18:36,30.1,81.85,4,RSC/NSC,Humla
2072-4-24,2015-08-09,02:10,27.94,85.52,4.1,NSC,Sindupalchok
2072-4-23,2015-08-08,15:40,27.69,86.26,4.1,NSC,Dolakha
2072-4-23,2015-08-08,00:39,27.77,85.7,4,NSC,Sindupalchok
2072-4-22,2015-08-07,06:12,27.5,85.5,4.4,NSC,Kavre
2072-4-21,2015-08-06,14:51,27.86,85.76,4.1,NSC,Sindupalchok
2072-4-20,2015-08-05,11:53,27.63,86.07,4.1,NSC,Dolakha
2072-4-20,2015-08-05,08:14,27.64,86.07,4.3,NSC,Dolakha
2072-4-16,2015-08-01,01:37,27.81,85.71,4.2,NSC,Sindupalchok
2072-4-14,2015-07-30,14:33,27.66,86.09,4.5,NSC/RSC,Dolakha
2072-4-12,2015-07-28,03:36,27.8,85.75,4.1,NSC,Sindupalchok
2072-4-12,2015-07-28,12:53,27.68,86.04,4,NSC,Dolakha
2072-4-12,2015-07-28,15:38,27.59,86.17,4.1,NSC,Dolakha
2072-4-11,2015-07-27,12:38,27.94,85.48,4.2,NSC,Nuwakot
2072-4-10,2015-07-26,04:18,27.85,85.75,4,NSC,Sindupalchok
2072-4-10,2015-07-26,03:45,27.68,86.22,4.1,NSC,Dolakha
2072-4-9,2015-07-25,14:19,27.66,86,4.5,NSC,Dolakha
2072-4-9,2015-07-25,18:20,27.61,86.28,4.3,NSC,Dolakha
2072-4-6,2015-07-22,16:29,27.7,85.32,4.6,NSC/RSC,Kathmandu
2072-4-5,2015-07-21,02:24,27.86,86.39,4.3,NSC,Dolakha
2072-4-1,2015-07-17,23:24,28.18,84.74,4,NSC,Gorkha
2072-3-30,2015-07-15,02:29,29.8,80.73,4.1,RSC,Darchula
2072-3-28,2015-07-13,11:54,27.63,86.09,4.2,NSC,Dolakha
2072-3-28,2015-07-13,10:16,28.06,85.34,4,NSC,Rasuwa
2072-3-26,2015-07-11,20:43,27.8,86.23,4.4,NSC,Dolakha
2072-3-24,2015-07-09,12:14,27.89,85.73,4.4,NSC,Sindupalchok
2072-3-23,2015-07-08,04:10,27.92,85.68,4.2,NSC,Sindhupalchok
2072-3-23,2015-07-08,04:34,27.6,86.23,4.1,NSC,Dolakha
2072-3-22,2015-07-07,15:21,28.48,83.13,4.2,NSC/RSC,Baglung
2072-3-22,2015-07-07,09:31,29.69,81.74,4.6,RSC,Bajura
2072-3-21,2015-07-06,15:29,27.96,85.75,4.4,NSC,Sindhupalchok
2072-3-21,2015-07-06,05:03,27.69,86.2,4.3,NSC,Dolakha
2072-3-20,2015-07-05,19:42,27.86,85.87,4.4,NSC,Sindupalchok
2072-3-20,2015-07-05,04:22,27.67,86.2,4.2,NSC,Dolakha
2072-3-19,2015-07-04,20:04,27.73,85,4.6,NSC,Dhading
2072-3-17,2015-07-02,01:56,27.97,85.62,5,NSC,Sindhupalchowk
2072-3-17,2015-07-02,23:41,27.67,85.54,4.1,NSC,Kavre
2072-3-16,2015-07-01,09:39,28.06,85.14,4,NSC,Nuwakot
2072-3-16,2015-07-01,03:27,27.71,86.12,4,NSC,Dolakha
2072-3-16,2015-07-01,21:48,27.8,85.74,4,NSC,Sindhupalchowk
2072-3-15,2015-06-30,21:46,27.55,85.79,4.4,NSC,Kavre
2072-3-14,2015-06-29,17:49,27.93,85.64,4,NSC,Sindhupalchowk
2072-3-14,2015-06-29,17:42,27.92,85.68,4.1,NSC,Sindhupalchowk
2072-3-14,2015-06-29,23:57,27.35,86.2,5,NSC,Ramechhap
2072-3-13,2015-06-28,16:16,27.92,85.66,4.3,NSC,Sindhupalchok
2072-3-11,2015-06-26,12:17,27.74,86.28,4.2,NSC,Dolakha
2072-3-11,2015-06-26,09:00,27.58,85.39,4.1,NSC,Lalitpur
2072-3-10,2015-06-25,15:22,27.78,85.17,4.3,NSC,Nuwakot
2072-3-10,2015-06-25,18:04,27.66,86.21,4.1,NSC,Dolakha
2072-3-10,2015-06-25,18:06,27.94,85.49,4.2,NSC,Sindhupalchok
2072-3-9,2015-06-24,09:14,27.85,85.75,4,NSC,Sindhupalchowk
2072-3-7,2015-06-22,07:34,27.67,86.17,4,NSC,Dolakha
2072-3-6,2015-06-21,13:41,27.8,86,4.3,NSC,Sindupalchok
2072-3-5,2015-06-20,12:23,28.65,82.76,5.4,NSC,Rukum
2072-3-5,2015-06-20,20:55,28.17,84.94,4.2,NSC,Gorkha
2072-3-4,2015-06-19,20:05,28.26,84.92,4,NSC,Gorkha
2072-3-3,2015-06-18,02:39,28.14,85.11,4.1,NSC,Dhading
2072-3-2,2015-06-17,02:15,28.27,85.94,5.1,NSC,Tibet
2072-3-2,2015-06-17,00:41,27.9,85.58,4,NSC,Sindhupalchok
2072-3-2,2015-06-17,00:29,27.91,85.59,5.2,NSC,Sindhupalchok
2072-3-2,2015-06-17,00:13,27.68,85.28,4.4,NSC,Kathmandu
2072-3-1,2015-06-16,16:11,27.7,86.16,4.1,NSC,Dolakha
2072-2-32,2015-06-15,10:07,27.87,85.72,4.1,NSC,Sindhupalchowk
2072-2-31,2015-06-14,00:14,27.8,85.15,4.2,NSC,Nuwakot
2072-2-31,2015-06-14,09:16,27.74,86.26,4.1,NSC,Dolakha
2072-2-30,2015-06-13,01:18,27.73,86.16,5.2,NSC,Dolakha
2072-2-29,2015-06-12,04:34,27.67,86.09,4.4,NSC,Dolakha
2072-2-29,2015-06-12,19:37,28.21,84.81,4.6,NSC,Gorkha
2072-2-28,2015-06-11,18:41,27.67,86.07,4,NSC,Dolakha
2072-2-28,2015-06-11,04:17,27.8,85.78,4.6,NSC,Sindhupalchowk
2072-2-28,2015-06-11,16:12,27.96,85.73,5.3,NSC,Sindhupalchowk
2072-2-27,2015-06-10,09:06,27.62,86.1,4.2,NSC,Dolakha
2072-2-27,2015-06-10,07:51,27.8,85.61,4.3,NSC,Sindhupalchowk
2072-2-27,2015-06-10,21:05,27.87,85.81,4.1,NSC,Sindhupalchowk
2072-2-24,2015-06-07,16:50,27.87,86.13,4.1,NSC,Dolakha
2072-2-24,2015-06-07,05:17,27.9,85.64,4.6,NSC,Sindhupalchowk
2072-2-23,2015-06-06,20:48,28.26,85.86,4.2,NSC,Tibet
2072-2-23,2015-06-06,17:00,27.58,86.18,4,NSC,Dolakha
2072-2-22,2015-06-05,08:31,27.7,85.22,4,NSC,Kathmandu
2072-2-22,2015-06-05,04:17,27.79,85.78,4.1,NSC,Sindhupalchowk
2072-2-21,2015-06-04,10:30,27.76,86.2,4,NSC,Dolakha
2072-2-20,2015-06-03,21:00,27.84,85.78,4.1,NSC,Sindhupalchowk
2072-2-20,2015-06-03,07:52,27.79,85.87,4.5,NSC,Sindhupalchowk
2072-2-20,2015-06-03,08:54,27.76,86.07,4.2,NSC,Dolakha
2072-2-20,2015-06-03,11:53,27.7,86.26,4.5,NSC,Dolakha
2072-2-19,2015-06-02,20:33,30,81.75,4.7,NSC/RSC,Humla
2072-2-19,2015-06-02,05:03,27.78,86.2,4,NSC,Dolakha
2072-2-18,2015-06-01,22:50,27.98,85.51,4,NSC,Sindhupalchowk
2072-2-17,2015-05-31,13:54,28.29,84.46,4.2,NSC,Lamjung
2072-2-16,2015-05-30,01:52,27.75,85.21,4,NSC,Dhading
2072-2-16,2015-05-30,20:35,28.01,85.19,4,NSC,Rasuwa
2072-2-16,2015-05-30,22:13,27.79,85.17,4.5,NSC,Nuwakot
2072-2-15,2015-05-29,15:44,28,84.98,5.2,NSC,Dhading
2072-2-15,2015-05-29,12:30,28.01,84.84,4.8,NSC,Dhading
2072-2-15,2015-05-29,08:30,28.17,84.72,4,NSC,Gorkha
2072-2-15,2015-05-29,05:20,28.07,84.94,4.2,NSC,Dhading
2072-2-15,2015-05-29,00:37,27.82,86.34,4.2,NSC,Dolakha
2072-2-14,2015-05-28,03:07,27.99,84.79,4,NSC,Dhading
2072-2-14,2015-05-28,03:40,27.95,84.8,4,NSC,Dhading
2072-2-14,2015-05-28,05:12,27.64,85.31,4,NSC,Kathmandu
2072-2-14,2015-05-28,05:29,27.77,86.25,4.2,NSC,Dolakha
2072-2-14,2015-05-28,11:36,27.59,86.19,4.2,NSC,Dolakha
2072-2-14,2015-05-28,12:14,27.59,86.16,4.1,NSC,Dolakha
2072-2-14,2015-05-28,22:16,27.94,85.54,4,NSC,Sindhupalchowk
2072-2-13,2015-05-27,12:03,27.59,86.2,4.2,NSC,Dolakha
2072-2-13,2015-05-27,13:15,27.91,85.53,4.5,NSC,Sindhupalchowk
2072-2-13,2015-05-27,13:16,27.89,85.53,4.6,NSC,Sindhupalchowk
2072-2-13,2015-05-27,22:29,28.04,85.13,4.2,NSC,Nuwakot
2072-2-12,2015-05-26,22:52,28.02,85.26,5,NSC,Rasuwa
2072-2-12,2015-05-26,20:00,27.54,85.43,4.3,NSC,Lalitpur
2072-2-12,2015-05-26,18:39,27.71,86.05,4.1,NSC,Dolakha
2072-2-12,2015-05-26,17:48,27.63,86.3,4.1,NSC,Dolakha
2072-2-12,2015-05-26,14:11,27.84,86.24,4.3,NSC,Dolakha
2072-2-11,2015-05-25,03:23,28.01,84.68,5,NSC,Gorkha
2072-2-11,2015-05-25,11:00,27.71,86.07,4.1,NSC,Dolakha
2072-2-11,2015-05-25,22:16,27.74,86.19,4.4,NSC,Dolakha
2072-2-10,2015-05-24,23:15,27.76,86.26,4.3,NSC,Dolakha
2072-2-10,2015-05-24,12:55,27.8,86.29,4.4,NSC,Dolakha
2072-2-10,2015-05-24,11:46,27.84,86,4.2,NSC,Sindhupalchowk
2072-2-10,2015-05-24,10:38,27.76,86.28,4.4,NSC,Dolakha
2072-2-10,2015-05-24,07:06,27.67,86.18,4.2,NSC,Dolakha
2072-2-9,2015-05-23,13:14,27.74,86.2,4.2,NSC,Dolakha
2072-2-9,2015-05-23,22:26,27.9,85.51,4.4,NSC,Sindhupalchok
2072-2-8,2015-05-22,19:07,30.31,81.47,4.8,NSC,Humla
2072-2-8,2015-05-22,20:44,27.69,86.16,4.1,NSC,Dolakha
2072-2-8,2015-05-22,18:49,27.78,85.93,4,NSC,Sindhupalchowk
2072-2-8,2015-05-22,17:30,27.63,86.25,4.1,NSC,Dolakha
2072-2-8,2015-05-22,16:44,28.05,85.08,4.8,NSC,Nuwakot
2072-2-8,2015-05-22,14:45,27.79,85.14,4.2,NSC,Nuwakot
2072-2-7,2015-05-21,14:11,27.85,86.32,4.2,NSC,Dolakha
2072-2-7,2015-05-21,14:56,27.93,85.46,4,NSC,Nuwakot
2072-2-7,2015-05-21,19:30,28.02,84.98,4,NSC,Dhading
2072-2-6,2015-05-20,14:47,27.52,85.26,4.4,NSC,Lalitput
2072-2-6,2015-05-20,11:10,27.84,86.33,4.2,NSC,Dolakha
2072-2-5,2015-05-19,16:44,27.92,86.04,4.2,NSC,Sindhupalchowk
2072-2-5,2015-05-19,11:29,27.9,85.99,4,NSC,Sindhupalchowk
2072-2-5,2015-05-19,04:34,27.66,86.03,4.3,NSC,Dolakha
2072-2-4,2015-05-18,09:11,27.71,86.07,4.2,NSC,Dolakha
2072-2-4,2015-05-18,18:27,28.11,84.88,4.1,NSC,Dhading
2072-2-4,2015-05-18,11:24,27.69,86.26,4,NSC,Dolakha
2072-2-3,2015-05-17,20:40,27.84,86.24,4.4,NSC,Dolakha
2072-2-3,2015-05-17,11:30,27.48,85.87,4.6,NSC,Ramechhap
2072-2-3,2015-05-17,05:00,27.73,86.06,4.4,NSC,Dolakha
2072-2-2,2015-05-16,02:15,28.07,84.7,4,NSC,Gorkha
2072-2-2,2015-05-16,04:28,27.65,86.12,4.1,NSC,Dolakha
